session_code,participant_code,market_uuid,trader_uuid,gamified,hybrid,algo_present,trading_day,payoff,initial_cash,forecast,forecast_confidence,current_cash,num_shares,algorithm_belief,trade_payoff,fin_quiz_score,self_assessment,overconfidence,cq_attempt_count,gender_female,age,finance_course,trading_experience,high_education,repetition,n_buys,n_sells,net_position,n_trades_market,avg_trade_price,avg_mispricing,avg_abs_mispricing,closing_price,opening_price,max_price,min_price,fundamental_value,price_L1,price_L2,price_next,return,abs_mispricing_ratio,surge,crash,normalized_mispricing,bubble_period,bubble_start,wealth_day,gini,feedback_flag,speculator_flag,fundamental_flag,other_flag
uik7aoor,7y6562pk,418c69c6-ec34-43cb-8592-f2fd1b6fcf4f,022bbf5d-3d6e-47c2-9a2a-66d712d45701,1,1,0,1,4817.0,3800.0,,,3920.0,9.0,1.0,4787.0,0.25,9.0,0.65,1,1,45.0,0.0,1.0,0,1,0.0,1.0,-1.0,4.0,127.5,7.5,12.5,150.0,130.0,150.0,110.0,120,,,170.0,,0.10416666666666667,0,0,0.0625,0,0,5000.0,0.0029910269192422734,0.0,0.0,1.0,0.0
uik7aoor,lk5oyxpy,418c69c6-ec34-43cb-8592-f2fd1b6fcf4f,376885f3-c47c-49f0-a0be-9a38c1b06b80,1,1,0,1,4459.0,2600.0,,,2600.0,20.0,0.0,4419.0,0.3333333333333333,10.0,0.6666666666666667,1,0,33.0,1.0,0.0,1,1,0.0,0.0,0.0,4.0,127.5,7.5,12.5,150.0,130.0,150.0,110.0,120,,,170.0,,0.10416666666666667,0,0,0.0625,0,0,5000.0,0.0029910269192422734,0.0,0.0,0.0,1.0
uik7aoor,tgar6z2d,418c69c6-ec34-43cb-8592-f2fd1b6fcf4f,9f70b144-bb13-4260-831f-f9cb21838f0b,1,1,0,1,4759.0,3800.0,,,3670.0,11.0,1.0,4699.0,0.5,9.0,0.4,4,1,22.0,0.0,1.0,1,1,1.0,0.0,1.0,4.0,127.5,7.5,12.5,150.0,130.0,150.0,110.0,120,,,170.0,,0.10416666666666667,0,0,0.0625,0,0,4990.0,0.0029910269192422734,0.0,0.0,0.0,1.0
uik7aoor,z3reux71,418c69c6-ec34-43cb-8592-f2fd1b6fcf4f,9d53611f-f803-450c-bed2-ad0697c26298,1,1,0,1,5706.0,2600.0,,,2450.0,22.0,0.0,5636.0,0.5833333333333334,9.0,0.31666666666666665,1,1,21.0,0.0,0.0,0,1,1.0,0.0,1.0,4.0,127.5,7.5,12.5,150.0,130.0,150.0,110.0,120,,,170.0,,0.10416666666666667,0,0,0.0625,0,0,5090.0,0.0029910269192422734,0.0,0.0,0.0,1.0
uik7aoor,a12rmbju,418c69c6-ec34-43cb-8592-f2fd1b6fcf4f,d08bcb2b-8529-4fb2-8df1-d0ba2880bbed,1,1,0,1,5027.0,3800.0,,,3800.0,10.0,1.0,4907.0,1.0,4.0,-0.6,2,0,23.0,1.0,1.0,1,1,0.0,0.0,0.0,4.0,127.5,7.5,12.5,150.0,130.0,150.0,110.0,120,,,170.0,,0.10416666666666667,0,0,0.0625,0,0,5000.0,0.0029910269192422734,0.0,0.0,0.0,1.0
uik7aoor,nwrelnt3,5c7e4638-30e0-4888-990f-24f3d564c836,7101c7b2-cced-4f23-8b1e-af06300a3134,0,0,0,2,5638.0,2600.0,,,2782.0,20.0,,5578.0,0.3333333333333333,8.0,0.46666666666666673,2,0,33.0,0.0,1.0,1,1,1.0,0.0,1.0,3.0,115.16666666666667,3.1666666666666665,4.5,117.5,110.0,118.0,110.0,112,115.0,,90.0,0.021739130434782705,0.04017857142857143,0,0,0.028273809523809566,0,0,5022.0,0.0009966756648670265,0.0,0.0,0.0,1.0
uik7aoor,jyza2hen,5c7e4638-30e0-4888-990f-24f3d564c836,be95f527-5ad3-4c59-b86e-16b055696e7d,0,0,0,2,4939.0,3800.0,,,3880.0,10.0,,4789.0,0.9166666666666666,10.0,0.08333333333333337,1,1,23.0,0.0,1.0,1,1,0.0,0.0,0.0,3.0,115.16666666666667,3.1666666666666665,4.5,117.5,110.0,118.0,110.0,112,115.0,,90.0,0.021739130434782705,0.04017857142857143,0,0,0.028273809523809566,0,0,5000.0,0.0009966756648670265,0.0,0.0,0.0,1.0
uik7aoor,8hcohaqe,5c7e4638-30e0-4888-990f-24f3d564c836,a9a9bfc8-0b2a-4983-bcf0-4b86c657dd86,0,0,0,2,4900.0,2600.0,,,2872.0,19.0,,4720.0,1.0,2.0,-0.8,2,1,22.0,0.0,0.0,0,1,0.0,0.0,0.0,3.0,115.16666666666667,3.1666666666666665,4.5,117.5,110.0,118.0,110.0,112,115.0,,90.0,0.021739130434782705,0.04017857142857143,0,0,0.028273809523809566,0,0,5000.0,0.0009966756648670265,0.0,1.0,0.0,0.0
uik7aoor,4emhkmm9,5c7e4638-30e0-4888-990f-24f3d564c836,78864939-4723-4d4e-a310-1733979e65ba,0,0,0,2,5371.0,3800.0,,,3880.0,10.0,,5301.0,0.25,10.0,0.75,1,0,45.0,0.0,1.0,1,1,0.0,0.0,0.0,3.0,115.16666666666667,3.1666666666666665,4.5,117.5,110.0,118.0,110.0,112,115.0,,90.0,0.021739130434782705,0.04017857142857143,0,0,0.028273809523809566,0,0,5000.0,0.0009966756648670265,0.0,1.0,0.0,0.0
uik7aoor,gfuuq2ww,5c7e4638-30e0-4888-990f-24f3d564c836,f4139a7f-b72e-4c9e-b9f8-776ff8a34dc9,0,0,0,2,4482.0,2600.0,,,2531.0,22.0,,4462.0,0.16666666666666666,3.0,0.13333333333333333,3,1,19.0,0.0,0.0,1,1,0.0,0.0,0.0,3.0,115.16666666666667,3.1666666666666665,4.5,117.5,110.0,118.0,110.0,112,115.0,,90.0,0.021739130434782705,0.04017857142857143,0,0,0.028273809523809566,0,0,4995.0,0.0009966756648670265,0.0,0.0,0.0,1.0
uik7aoor,cl09qtj4,5c7e4638-30e0-4888-990f-24f3d564c836,ce2794fe-8d67-4dc5-a1e4-fda7496f0027,0,0,0,2,4825.0,3800.0,,,3998.0,9.0,,4715.0,0.9166666666666666,1.0,-0.8166666666666667,5,0,44.0,0.0,0.0,1,1,0.0,1.0,-1.0,3.0,115.16666666666667,3.1666666666666665,4.5,117.5,110.0,118.0,110.0,112,115.0,,90.0,0.021739130434782705,0.04017857142857143,0,0,0.028273809523809566,0,0,5006.0,0.0009966756648670265,0.0,0.0,1.0,0.0
uik7aoor,2i53nqi2,5c7e4638-30e0-4888-990f-24f3d564c836,336243e5-56a5-47f6-9862-1a9c250841e8,0,0,0,2,5674.0,2600.0,,,2520.5,22.0,,5664.0,0.08333333333333333,10.0,0.9166666666666666,1,1,22.0,0.0,0.0,0,1,1.0,0.0,1.0,3.0,115.16666666666667,3.1666666666666665,4.5,117.5,110.0,118.0,110.0,112,115.0,,90.0,0.021739130434782705,0.04017857142857143,0,0,0.028273809523809566,0,0,4984.5,0.0009966756648670265,0.0,0.0,0.0,1.0
uik7aoor,wffepf9u,5c7e4638-30e0-4888-990f-24f3d564c836,4e3199a4-5b9d-45d0-980a-96571662a0a8,0,0,0,2,5134.0,3800.0,,,4104.5,8.0,,5074.0,0.3333333333333333,8.0,0.46666666666666673,1,1,44.0,0.0,1.0,1,1,1.0,2.0,-1.0,3.0,115.16666666666667,3.1666666666666665,4.5,117.5,110.0,118.0,110.0,112,115.0,,90.0,0.021739130434782705,0.04017857142857143,0,0,0.028273809523809566,0,0,5000.5,0.0009966756648670265,0.0,0.0,0.0,1.0
