market_uuid,trading_day,n_traders,avg_age,share_female,share_finance_course,share_trading_experience,share_high_education,avg_fin_quiz,sd_fin_quiz,avg_self_assessment,avg_overconfidence,sd_overconfidence,avg_cq_attempts,share_algo_belief,avg_wealth,sd_wealth,gini,avg_forecast,sd_forecast,share_feedback,share_speculator,share_fundamental,share_other,repetition,gamified,hybrid,algo_present,n_trades_market,avg_trade_price,avg_mispricing,avg_abs_mispricing,closing_price,opening_price,max_price,min_price,fundamental_value,price_L1,price_L2,price_next,return,abs_mispricing_ratio,surge,crash,normalized_mispricing,bubble_period,bubble_start,cum_surge,cum_crash,cum_bubble_period
03af9f8b-508e-452c-9c35-0eeba0e3b3cc,7,8,33.125,0.625,0.375,0.5,0.75,0.6145833333333334,0.2743589208688455,6.875,0.0729166666666667,0.5388801954788885,2.0,0.5,4820.0,85.97840260371049,0.00931664937759336,,,0.0,0.125,0.125,0.75,2,1,1,0,3.0,79.0,7.0,7.0,80.0,80.0,80.0,77.0,72,84.0,111.0,62.0,-0.04761904761904767,0.09722222222222222,0,0,0.09722222222222222,0,0,0,0,0
025fce5c-ab70-4acb-9fe2-39de4e4b9b23,8,8,31.5,0.625,0.0,0.5,0.75,0.5,0.3779644730092272,6.5,0.15,0.6535616704970214,2.0,,4760.0,122.2436092399108,0.013448660714285715,,,0.1875,0.1875,0.0,0.625,2,0,0,0,5.0,57.0,-7.0,7.4,64.0,48.0,65.0,48.0,64,50.0,65.0,44.0,0.28,0.115625,1,0,-0.109375,0,0,1,0,0
03af9f8b-508e-452c-9c35-0eeba0e3b3cc,8,8,33.125,0.625,0.375,0.5,0.75,0.6145833333333334,0.2743589208688455,6.875,0.0729166666666667,0.5388801954788885,2.0,0.5,4760.0,106.7747963840584,0.01173844537815126,,,0.0,0.125,0.125,0.75,2,1,1,0,5.0,63.4,-0.6,1.8,62.0,66.0,66.0,62.0,64,80.0,84.0,58.0,-0.22499999999999998,0.028125,0,0,-0.009375000000000022,0,0,0,0,0
025fce5c-ab70-4acb-9fe2-39de4e4b9b23,9,8,31.5,0.625,0.0,0.5,0.75,0.5,0.3779644730092272,6.5,0.15,0.6535616704970214,2.0,,4700.0,156.7775949736259,0.01737367021276596,11.875,22.350695099449847,0.1875,0.1875,0.0,0.625,2,0,0,0,2.0,47.0,-9.0,9.0,44.0,50.0,50.0,44.0,56,64.0,50.0,43.0,-0.3125,0.16071428571428573,0,0,-0.16071428571428573,0,0,1,0,0
03af9f8b-508e-452c-9c35-0eeba0e3b3cc,9,8,33.125,0.625,0.375,0.5,0.75,0.6145833333333334,0.2743589208688455,6.875,0.0729166666666667,0.5388801954788885,2.0,0.5,4700.0,128.08813929701458,0.014341755319148936,0.0,0.0,0.0,0.125,0.125,0.75,2,1,1,0,4.0,56.25,0.25,1.75,58.0,58.0,58.0,54.0,56,62.0,80.0,44.0,-0.06451612903225812,0.03125,0,0,0.004464285714285714,0,0,0,0,0
025fce5c-ab70-4acb-9fe2-39de4e4b9b23,10,8,31.5,0.625,0.0,0.5,0.75,0.5,0.3779644730092272,6.5,0.15,0.6535616704970214,2.0,,4880.0,65.84993762878057,0.006983222336065574,,,0.1875,0.1875,0.0,0.625,2,0,0,0,4.0,40.75,-7.25,7.25,43.0,44.0,44.0,32.0,48,44.0,64.0,40.0,-0.022727272727272707,0.15104166666666666,0,0,-0.15104166666666666,0,0,1,0,0
03af9f8b-508e-452c-9c35-0eeba0e3b3cc,10,8,33.125,0.625,0.375,0.5,0.75,0.6145833333333334,0.2743589208688455,6.875,0.0729166666666667,0.5388801954788885,2.0,0.5,4886.0,75.50212863602852,0.007841281211625051,,,0.0,0.125,0.125,0.75,2,1,1,0,5.0,50.2,2.2,3.8,44.0,54.0,55.0,44.0,48,58.0,62.0,50.0,-0.24137931034482762,0.07916666666666666,0,0,0.04583333333333339,0,0,0,0,0
025fce5c-ab70-4acb-9fe2-39de4e4b9b23,11,8,31.5,0.625,0.0,0.5,0.75,0.5,0.3779644730092272,6.5,0.15,0.6535616704970214,2.0,,4880.0,59.979163048512106,0.006275614754098361,,,0.1875,0.1875,0.0,0.625,2,0,0,0,4.0,48.0,8.0,8.0,40.0,55.0,55.0,40.0,40,43.0,44.0,32.0,-0.06976744186046513,0.2,0,0,0.2,0,0,1,0,0
03af9f8b-508e-452c-9c35-0eeba0e3b3cc,11,8,33.125,0.625,0.375,0.5,0.75,0.6145833333333334,0.2743589208688455,6.875,0.0729166666666667,0.5388801954788885,2.0,0.5,4881.0,70.1182674384602,0.007324318787133784,,,0.0,0.125,0.125,0.75,2,1,1,0,4.0,44.0,4.0,5.0,50.0,44.0,50.0,38.0,40,44.0,58.0,45.0,0.13636363636363646,0.125,0,0,0.1,0,0,0,0,0
025fce5c-ab70-4acb-9fe2-39de4e4b9b23,12,8,31.5,0.625,0.0,0.5,0.75,0.5,0.3779644730092272,6.5,0.15,0.6535616704970214,2.0,,4880.0,59.97678122168854,0.006272412909836066,15.75,18.053491945564755,0.1875,0.1875,0.0,0.625,2,0,0,0,2.0,33.0,1.0,1.0,32.0,34.0,34.0,32.0,32,40.0,43.0,24.03,-0.19999999999999996,0.03125,0,0,0.03125,0,0,1,0,0
03af9f8b-508e-452c-9c35-0eeba0e3b3cc,12,8,33.125,0.625,0.375,0.5,0.75,0.6145833333333334,0.2743589208688455,6.875,0.0729166666666667,0.5388801954788885,2.0,0.5,4885.0,66.26354309012719,0.006844933469805527,23.375,35.49220236293359,0.0,0.125,0.125,0.75,2,1,1,0,5.0,47.8,15.8,15.8,45.0,55.0,55.0,45.0,32,50.0,44.0,22.0,-0.09999999999999998,0.49375,0,0,0.4937499999999999,0,0,0,0,0
025fce5c-ab70-4acb-9fe2-39de4e4b9b23,13,8,31.5,0.625,0.0,0.5,0.75,0.5,0.3779644730092272,6.5,0.15,0.6535616704970214,2.0,,4760.0,118.27531526062413,0.012597360819327736,,,0.1875,0.1875,0.0,0.625,2,0,0,0,4.0,23.2625,-0.7374999999999998,0.7625000000000002,24.03,23.0,24.03,22.0,24,32.0,40.0,15.0,-0.24906249999999996,0.03177083333333334,0,0,-0.030729166666666696,0,0,1,0,0
03af9f8b-508e-452c-9c35-0eeba0e3b3cc,13,8,33.125,0.625,0.375,0.5,0.75,0.6145833333333334,0.2743589208688455,6.875,0.0729166666666667,0.5388801954788885,2.0,0.5,4761.0,108.7263931684877,0.012110113421550094,,,0.0,0.125,0.125,0.75,2,1,1,0,4.0,23.25,-0.75,1.25,22.0,25.0,25.0,22.0,24,45.0,50.0,22.0,-0.5111111111111111,0.052083333333333336,0,0,-0.03125,0,0,0,0,0
025fce5c-ab70-4acb-9fe2-39de4e4b9b23,14,8,31.5,0.625,0.0,0.5,0.75,0.5,0.3779644730092272,6.5,0.15,0.6535616704970214,2.0,,4760.0,120.24215531287585,0.012791097689075631,,,0.1875,0.1875,0.0,0.625,2,0,0,0,5.0,16.6,0.6,1.8,15.0,16.0,22.0,15.0,16,24.03,32.0,7.0,-0.3757802746566792,0.1125,0,0,0.03750000000000009,0,0,1,0,0
