market_id,repetition,trading_day,n_trades,avg_trade_price,closing_price,opening_price,max_price,min_price,fundamental_value,gamified,hybrid,treatment,market_design,group_composition,average_mispricing,absolute_mispricing,abs_mispricing_ratio,lag_price,lead_price,delta_p,lead_delta_p,return,normalized_mispricing,surge,crash,bubble_period,bubble_start
4397451b-fa5f-4b8f-b86e-278d272e1d68,1,12,1,90.0,90.0,90.0,90.0,90.0,32,1,0,gh,gamified,human_only,58.0,58.0,1.8125,70.0,85.0,20.0,-5.0,0.2857142857142857,1.8125,0,0,0,0
4397451b-fa5f-4b8f-b86e-278d272e1d68,1,13,2,86.25,85.0,87.5,87.5,85.0,24,1,0,gh,gamified,human_only,62.25,62.25,2.59375,90.0,60.0,-5.0,-25.0,-0.05555555555555555,2.59375,0,0,0,0
4397451b-fa5f-4b8f-b86e-278d272e1d68,1,14,2,70.0,60.0,80.0,80.0,60.0,16,1,0,gh,gamified,human_only,54.0,54.0,3.375,85.0,60.0,-25.0,0.0,-0.29411764705882354,3.375,0,0,0,0
4397451b-fa5f-4b8f-b86e-278d272e1d68,1,15,3,55.0,60.0,50.0,60.0,50.0,8,1,0,gh,gamified,human_only,47.0,47.0,5.875,60.0,,0.0,,0.0,5.875,0,0,1,1
4b4a8da8-869c-4728-b134-73a625591381,2,1,3,90.0,120.0,70.0,120.0,70.0,120,1,0,gh,gamified,human_only,-30.0,30.0,0.25,,110.0,,-10.0,,-0.25,0,0,0,0
4b4a8da8-869c-4728-b134-73a625591381,2,2,2,75.0,110.0,40.0,110.0,40.0,112,1,0,gh,gamified,human_only,-37.0,37.0,0.33035714285714285,120.0,97.0,-10.0,-13.0,-0.08333333333333333,-0.33035714285714285,0,0,0,0
4b4a8da8-869c-4728-b134-73a625591381,2,3,4,96.75,97.0,100.0,100.0,95.0,104,1,0,gh,gamified,human_only,-7.25,7.25,0.06971153846153846,110.0,110.0,-13.0,13.0,-0.11818181818181818,-0.06971153846153846,0,0,0,0
4b4a8da8-869c-4728-b134-73a625591381,2,4,5,112.85,110.0,98.0,121.25,98.0,96,1,0,gh,gamified,human_only,16.849999999999994,16.849999999999994,0.17552083333333326,97.0,119.0,13.0,9.0,0.13402061855670103,0.17552083333333326,0,0,0,0
4b4a8da8-869c-4728-b134-73a625591381,2,5,2,113.25,119.0,107.5,119.0,107.5,88,1,0,gh,gamified,human_only,25.25,25.25,0.2869318181818182,110.0,121.5,9.0,2.5,0.08181818181818182,0.2869318181818182,0,0,0,0
4b4a8da8-869c-4728-b134-73a625591381,2,6,8,117.6875,121.5,119.0,121.5,112.0,80,1,0,gh,gamified,human_only,37.6875,37.6875,0.47109375,119.0,90.0,2.5,-31.5,0.02100840336134454,0.47109375,0,0,0,0
4b4a8da8-869c-4728-b134-73a625591381,2,7,4,118.75,90.0,125.0,140.0,90.0,72,1,0,gh,gamified,human_only,46.75,46.75,0.6493055555555556,121.5,150.0,-31.5,60.0,-0.25925925925925924,0.6493055555555556,0,0,0,0
4b4a8da8-869c-4728-b134-73a625591381,2,8,2,115.0,150.0,80.0,150.0,80.0,64,1,0,gh,gamified,human_only,51.0,51.0,0.796875,90.0,90.0,60.0,-60.0,0.6666666666666666,0.796875,1,0,0,0
4b4a8da8-869c-4728-b134-73a625591381,2,9,8,87.5,90.0,90.0,90.0,80.0,56,1,0,gh,gamified,human_only,31.5,31.5,0.5625,150.0,90.0,-60.0,0.0,-0.4,0.5625,0,0,0,0
4b4a8da8-869c-4728-b134-73a625591381,2,10,2,85.0,90.0,80.0,90.0,80.0,48,1,0,gh,gamified,human_only,37.0,37.0,0.7708333333333334,90.0,80.0,0.0,-10.0,0.0,0.7708333333333334,0,0,0,0
4b4a8da8-869c-4728-b134-73a625591381,2,11,3,80.0,80.0,80.0,80.0,80.0,40,1,0,gh,gamified,human_only,40.0,40.0,1.0,90.0,80.0,-10.0,0.0,-0.1111111111111111,1.0,0,0,0,0
4b4a8da8-869c-4728-b134-73a625591381,2,12,5,84.0,80.0,85.0,85.0,80.0,32,1,0,gh,gamified,human_only,52.0,52.0,1.625,80.0,70.0,0.0,-10.0,0.0,1.625,0,0,0,0
4b4a8da8-869c-4728-b134-73a625591381,2,13,9,78.47222222222223,70.0,81.25,82.5,70.0,24,1,0,gh,gamified,human_only,54.47222222222223,54.47222222222223,2.269675925925926,80.0,90.0,-10.0,20.0,-0.125,2.269675925925926,0,0,0,0
4b4a8da8-869c-4728-b134-73a625591381,2,14,5,77.0,90.0,70.0,90.0,70.0,16,1,0,gh,gamified,human_only,61.0,61.0,3.8125,70.0,90.0,20.0,0.0,0.2857142857142857,3.8125,0,0,0,0
4b4a8da8-869c-4728-b134-73a625591381,2,15,2,80.0,90.0,70.0,90.0,70.0,8,1,0,gh,gamified,human_only,72.0,72.0,9.0,90.0,,0.0,,0.0,9.0,0,0,1,1
