trading_session_uuid,is_simulated,market_number,trading_day,event_seq,event_ts,record_kind,event_type,side,aggressor_side,order_id,trader_uuid,price,size,size_delta,size_resting_after,queue_position,queue_size,status_after,match_id,contra_order_id,bid_order_id,ask_order_id,bid_trader_uuid,ask_trader_uuid,source_created_ts,fundamental_value,market_id,treatment,market_design,group_composition,gamified,hybrid,repetition
4397451b-fa5f-4b8f-b86e-278d272e1d68,0,1,10,91,2026-03-12 21:38:29.391320+00:00,trade,trade,bid,B,,,120.0,1.0,,,,,,98fae200-cd21-4a2e-a028-369757016bc4,,23e42ef5-ee34-4136-a465-2cef30822018,fb05801e-b3e7-4895-a7e3-84a1bddc1621,4c38c903-37b1-4f90-bf9a-1978f7df9fd0,8ec5d82c-c27e-40ec-8f69-fe61237f5412,1773351509.408027,48,4397451b-fa5f-4b8f-b86e-278d272e1d68,gh,gamified,human_only,1,0,1
4397451b-fa5f-4b8f-b86e-278d272e1d68,0,1,10,95,2026-03-12 21:38:40.948710+00:00,trade,trade,bid,B,,,150.0,1.0,,,,,,b399bcaa-3820-440d-b293-122147934116,,1f00f3dc-d457-4006-9d6c-c6a194baea0b,2db2efe1-c527-4ddb-bd1d-fea4725a19c2,817c3405-e3a7-4f12-b0aa-18682cc45403,4c38c903-37b1-4f90-bf9a-1978f7df9fd0,1773351520.966335,48,4397451b-fa5f-4b8f-b86e-278d272e1d68,gh,gamified,human_only,1,0,1
4397451b-fa5f-4b8f-b86e-278d272e1d68,0,1,11,99,2026-03-12 21:38:58.926990+00:00,trade,trade,bid,B,,,150.0,1.0,,,,,,e278d44d-4c58-4544-84cc-353e864e29a4,,6479cfaa-bed8-45b6-80fe-b1e3ac037073,2aa5f081-588b-40d9-951b-c4ef115704a0,e5700b75-5d29-45d7-bafa-2e801b0e9e82,4c38c903-37b1-4f90-bf9a-1978f7df9fd0,1773351538.947791,40,4397451b-fa5f-4b8f-b86e-278d272e1d68,gh,gamified,human_only,1,0,1
4397451b-fa5f-4b8f-b86e-278d272e1d68,0,1,11,103,2026-03-12 21:39:13.461926+00:00,trade,trade,bid,B,,,150.0,1.0,,,,,,34b716bf-fddb-49df-9a89-ea1d3184c987,,0f98c2fa-2209-4898-86a8-46cc9a7dc4c1,84c9074c-e01d-4f49-b4ab-29e2f97634e7,e5700b75-5d29-45d7-bafa-2e801b0e9e82,4c38c903-37b1-4f90-bf9a-1978f7df9fd0,1773351553.559754,40,4397451b-fa5f-4b8f-b86e-278d272e1d68,gh,gamified,human_only,1,0,1
4397451b-fa5f-4b8f-b86e-278d272e1d68,0,1,11,106,2026-03-12 21:39:43.584116+00:00,trade,trade,ask,S,,,100.0,1.0,,,,,,3eef8699-25c9-47c6-b7c7-008953570c9d,,edc6ffa8-2118-4ee2-9606-54f7e08fad6f,976224ce-e307-4649-8e2e-dc49066179cf,4c38c903-37b1-4f90-bf9a-1978f7df9fd0,8ec5d82c-c27e-40ec-8f69-fe61237f5412,1773351583.601012,40,4397451b-fa5f-4b8f-b86e-278d272e1d68,gh,gamified,human_only,1,0,1
4397451b-fa5f-4b8f-b86e-278d272e1d68,0,1,11,109,2026-03-12 21:39:49.403224+00:00,trade,trade,ask,S,,,70.0,1.0,,,,,,747a54c5-1292-4e6c-aada-426af4da11a5,,92949ee6-64cb-4c80-a9bb-f74f205515ad,7d3a0437-c032-4a4c-a8a6-ebe25c49c63c,817c3405-e3a7-4f12-b0aa-18682cc45403,8ec5d82c-c27e-40ec-8f69-fe61237f5412,1773351589.419748,40,4397451b-fa5f-4b8f-b86e-278d272e1d68,gh,gamified,human_only,1,0,1
4397451b-fa5f-4b8f-b86e-278d272e1d68,0,1,12,115,2026-03-12 21:40:27.990105+00:00,trade,trade,bid,B,,,90.0,1.0,,,,,,f12882c4-0d55-4768-b916-892537feb978,,c776cbdf-9fdb-4c8b-8163-08efe69045cf,549f774b-ae6f-451e-ab68-1ff33eeda983,77bebd92-5e1a-445f-b2d1-79138b8028c0,817c3405-e3a7-4f12-b0aa-18682cc45403,1773351628.007038,32,4397451b-fa5f-4b8f-b86e-278d272e1d68,gh,gamified,human_only,1,0,1
4397451b-fa5f-4b8f-b86e-278d272e1d68,0,1,13,122,2026-03-12 21:41:17.830881+00:00,trade,trade,bid,B,,,87.5,1.0,,,,,,cd19589f-221f-459a-ac99-5d43eb9cbece,,a5cd3324-1cfe-4853-8b57-56f70806f8f9,387ec949-b302-42ea-a94b-f1c63d1f7327,914e1fc2-9d3c-4503-8f28-e329d90df453,8ec5d82c-c27e-40ec-8f69-fe61237f5412,1773351677.847647,24,4397451b-fa5f-4b8f-b86e-278d272e1d68,gh,gamified,human_only,1,0,1
4397451b-fa5f-4b8f-b86e-278d272e1d68,0,1,13,125,2026-03-12 21:41:25.027539+00:00,trade,trade,ask,S,,,85.0,1.0,,,,,,6ff8ac4b-297b-4fc9-82f4-20991c0b1c7e,,9d3c1452-c205-443e-9947-f6de8b050e89,2c61e959-5b26-4d00-9594-2766543d9425,4c38c903-37b1-4f90-bf9a-1978f7df9fd0,817c3405-e3a7-4f12-b0aa-18682cc45403,1773351685.044635,24,4397451b-fa5f-4b8f-b86e-278d272e1d68,gh,gamified,human_only,1,0,1
4397451b-fa5f-4b8f-b86e-278d272e1d68,0,1,14,128,2026-03-12 21:43:41.412413+00:00,trade,trade,ask,S,,,80.0,1.0,,,,,,3e5e459f-d96e-41dc-988c-4a4b8185f29e,,950878fb-9456-438d-9fa5-b7a299b3c9d4,e052ab9e-e60d-4fc8-962f-592045219df5,817c3405-e3a7-4f12-b0aa-18682cc45403,4c38c903-37b1-4f90-bf9a-1978f7df9fd0,1773351821.431521,16,4397451b-fa5f-4b8f-b86e-278d272e1d68,gh,gamified,human_only,1,0,1
4397451b-fa5f-4b8f-b86e-278d272e1d68,0,1,14,132,2026-03-12 21:43:48.054283+00:00,trade,trade,bid,B,,,60.0,1.0,,,,,,2fb823a2-5c76-406b-aec2-e5433b7a87de,,2e4a432b-bd88-4d98-a58a-ab6794aec53a,12952c54-963f-48ba-90a3-2e32bca310e1,8ec5d82c-c27e-40ec-8f69-fe61237f5412,4c38c903-37b1-4f90-bf9a-1978f7df9fd0,1773351828.071699,16,4397451b-fa5f-4b8f-b86e-278d272e1d68,gh,gamified,human_only,1,0,1
4397451b-fa5f-4b8f-b86e-278d272e1d68,0,1,15,138,2026-03-12 21:45:12.316942+00:00,trade,trade,ask,S,,,50.0,1.0,,,,,,432706f0-fe99-4da0-bd2a-af9f9386af64,,c928309b-9877-458b-8e9b-026c2d48cc0a,6bbbf916-55a6-4584-b7d2-4d5c73873343,77bebd92-5e1a-445f-b2d1-79138b8028c0,e5700b75-5d29-45d7-bafa-2e801b0e9e82,1773351912.333296,8,4397451b-fa5f-4b8f-b86e-278d272e1d68,gh,gamified,human_only,1,0,1
4397451b-fa5f-4b8f-b86e-278d272e1d68,0,1,15,143,2026-03-12 21:45:26.887660+00:00,trade,trade,bid,B,,,55.0,1.0,,,,,,797e8287-68f5-41d3-a809-dfc60d952a08,,6a6d6d1b-c344-4b61-b5e0-51c1cc863809,b008c2f4-1141-471d-b2fe-64a11fd41703,8ec5d82c-c27e-40ec-8f69-fe61237f5412,e5700b75-5d29-45d7-bafa-2e801b0e9e82,1773351926.904703,8,4397451b-fa5f-4b8f-b86e-278d272e1d68,gh,gamified,human_only,1,0,1
