market_uuid,trading_day,quoted_spread,rel_quoted_spread,depth_best,pct_two_sided,rel_eff_spread,rv_mid,n_trades,treatment,repetition,gkey,sess,trader_day_directionality
b86ad8e8-b0f6-4578-8e02-b4a87378a89d,9,25.46910526139589,0.8684366330060548,3.610000583138663,0.9891979918883512,3.321602434077079,1.57621980415932,4,gh,2,729v3r7i|aac2mc3k|e4rzuiqc|j6o1gu35|lh92b709|z9n52ebr,20260520_AM,0.75
b86ad8e8-b0f6-4578-8e02-b4a87378a89d,10,12.499675514183272,0.6473966660935239,2.341900069295457,1.0,0.5170068027210885,1.1204354532456986,7,gh,2,729v3r7i|aac2mc3k|e4rzuiqc|j6o1gu35|lh92b709|z9n52ebr,20260520_AM,1.0
b86ad8e8-b0f6-4578-8e02-b4a87378a89d,11,5.598611874424026,0.45483367351164355,2.8733600738059817,1.0,0.3455102040816326,0.7047697835615663,14,gh,2,729v3r7i|aac2mc3k|e4rzuiqc|j6o1gu35|lh92b709|z9n52ebr,20260520_AM,0.7222222222222222
b86ad8e8-b0f6-4578-8e02-b4a87378a89d,12,49.1888453867399,1.4344721373776474,3.495106635135597,1.0,0.6063829787234043,1.2802163048552253,28,gh,2,729v3r7i|aac2mc3k|e4rzuiqc|j6o1gu35|lh92b709|z9n52ebr,20260520_AM,0.657979797979798
b86ad8e8-b0f6-4578-8e02-b4a87378a89d,13,29.822127904125534,1.079975941449682,2.815180785574016,1.0,1.0999999999999999,1.9752488886962483,10,gh,2,729v3r7i|aac2mc3k|e4rzuiqc|j6o1gu35|lh92b709|z9n52ebr,20260520_AM,0.5700000000000001
b86ad8e8-b0f6-4578-8e02-b4a87378a89d,14,6972.1261583908345,1.6335358222606693,2.149024873991568,0.9520425924445831,7.854166666666667,6.913570762048378,24,gh,2,729v3r7i|aac2mc3k|e4rzuiqc|j6o1gu35|lh92b709|z9n52ebr,20260520_AM,0.5972222222222222
b86ad8e8-b0f6-4578-8e02-b4a87378a89d,15,93.42587189197555,1.179240040894808,2.0,1.0,1.1855500821018063,3.0339482536040685,3,gh,2,729v3r7i|aac2mc3k|e4rzuiqc|j6o1gu35|lh92b709|z9n52ebr,20260520_AM,1.0
562efb1b-a346-43e9-8059-5c07029ce57e,1,5.765778384464701,0.6669534634752182,2.5224922493174766,0.11540935127085131,0.5076023391812866,0.12367055559655973,8,ghp,1,dadcupjc|e60078af|gr27p5tr|ja9vp1ab|stzawa55|tzbpp88u,20260520_PM,0.4333333333333333
562efb1b-a346-43e9-8059-5c07029ce57e,2,8.414230161485754,0.13510507108256503,2.0172443817053476,1.0,0.23516787942954243,0.7933440366683334,5,ghp,1,dadcupjc|e60078af|gr27p5tr|ja9vp1ab|stzawa55|tzbpp88u,20260520_PM,0.5833333333333333
562efb1b-a346-43e9-8059-5c07029ce57e,3,1.9424297893608158,0.029779203534763644,2.033098279896028,1.0,0.16427987353845605,0.1464049206240252,11,ghp,1,dadcupjc|e60078af|gr27p5tr|ja9vp1ab|stzawa55|tzbpp88u,20260520_PM,0.5436507936507936
