market_uuid,trader_uuid,day,sh,cash,participant_code,treatment,initial_cash,shares0
b0eca25a-c9c1-4b52-a273-a509e63a7229,f12504f3-11d0-4327-8b7a-bc23496e0389,15,9.0,5522.829999999999,8m72ygxx,ghp,2600.0,20
b0eca25a-c9c1-4b52-a273-a509e63a7229,0671e4cf-2b62-424f-ae00-209c7fe17584,15,32.0,5001.710000000001,3mu21szb,ghp,3800.0,10
b0eca25a-c9c1-4b52-a273-a509e63a7229,e1704662-f9fc-4997-ae7d-284d233e3b57,15,1.0,5395.610000000001,caoxz34q,ghp,2600.0,20
b0eca25a-c9c1-4b52-a273-a509e63a7229,ae15d7f0-ae5f-4399-9bdd-5751a9cf2a9b,15,34.0,5160.91,rdnkoe93,ghp,3800.0,10
e2c2318e-0678-474d-bdf2-b31e6e134e04,9d9828a0-f4a4-4702-bccc-dbd6c2ef7745,15,3.0,5804.33,9d6cveb5,ng,2600.0,20
e2c2318e-0678-474d-bdf2-b31e6e134e04,a3d5810f-4610-4abf-b161-dbb99786b2bc,15,6.0,5548.5,6swie1ys,ng,3800.0,10
e2c2318e-0678-474d-bdf2-b31e6e134e04,79b2b539-2db5-4913-a788-fcc9d14093a7,15,27.0,5056.5,dltkzvxc,ng,2600.0,20
e2c2318e-0678-474d-bdf2-b31e6e134e04,317d63e7-a336-405c-91a4-54b0529ca6c9,15,8.0,5142.45,weju7mc9,ng,3800.0,10
e2c2318e-0678-474d-bdf2-b31e6e134e04,8ad469c5-752f-40a2-8a84-bf98bbb5d719,15,29.0,5658.6,dq2m7s6u,ng,2600.0,20
e2c2318e-0678-474d-bdf2-b31e6e134e04,2178c5aa-a486-4edf-a5cb-9f1a70f06e68,15,17.0,5309.62,dw5igqpq,ng,3800.0,10
727aeab3-4e37-4074-aa8a-edb9ed62fd8f,9ac2441c-65de-4140-886b-e041aa13f30c,15,0.0,5624.83,1j25lcg3,gh,2600.0,20
727aeab3-4e37-4074-aa8a-edb9ed62fd8f,f4e496bb-e503-420c-97a0-f6dc825fc9c7,15,35.0,5494.84,icxcbb3j,gh,3800.0,10
727aeab3-4e37-4074-aa8a-edb9ed62fd8f,9d9fb988-56a1-480a-b9ae-0966b32c2ac4,15,44.0,5202.85,2dz5zxb2,gh,2600.0,20
727aeab3-4e37-4074-aa8a-edb9ed62fd8f,2f3e84e4-20e5-4f77-b49b-fa897c043cca,15,4.0,5441.459999999999,108ssdya,gh,3800.0,10
727aeab3-4e37-4074-aa8a-edb9ed62fd8f,0ab415f9-45fc-4008-bf72-fc8e5659f749,15,1.0,5439.57,sgu796fi,gh,2600.0,20
727aeab3-4e37-4074-aa8a-edb9ed62fd8f,53588079-a1a1-4d7a-af7c-dd507879bce6,15,6.0,5316.45,w7s9esrf,gh,3800.0,10
55ae4144-efe9-4ac1-adff-7ef37ab172bb,d6862b7b-7161-4fe7-8fff-046502ffe0d0,15,2.0,4555.4,5ldlcszn,ghp,2600.0,20
55ae4144-efe9-4ac1-adff-7ef37ab172bb,2f616cb5-5071-4415-af19-6d9bbb148833,15,3.0,5111.85,q5e90cmj,ghp,3800.0,10
55ae4144-efe9-4ac1-adff-7ef37ab172bb,f5671481-30e4-4d1e-8b35-4a84487f96c6,15,1.0,4687.360000000001,zp1owmpd,ghp,2600.0,20
55ae4144-efe9-4ac1-adff-7ef37ab172bb,3a9837d0-9ef3-4d69-b6d3-62f1f33890c4,15,11.0,4757.040000000001,yq2xbma3,ghp,3800.0,10
55ae4144-efe9-4ac1-adff-7ef37ab172bb,b99e3581-184c-4ce1-9b22-06b28d8b976f,15,0.0,4577.09,nmgjkj32,ghp,2600.0,20
55ae4144-efe9-4ac1-adff-7ef37ab172bb,4ec17b6f-b1d9-476d-b555-01d2e4bebfdc,15,73.0,4151.26,cjmxcmcd,ghp,3800.0,10
d21a648c-851e-4cfb-8dc1-9849fa4daf59,5f0959c2-868e-4bb9-8eed-bec8c1ea0c1f,15,22.0,4488.55,00g81xoq,ng,2600.0,20
d21a648c-851e-4cfb-8dc1-9849fa4daf59,e694494f-f5c8-44ed-b3dd-b7caf2e75610,15,0.0,5354.099999999999,3hlfki3e,ng,3800.0,10
d21a648c-851e-4cfb-8dc1-9849fa4daf59,44c67b71-4a40-4c54-947d-7421f7c709c3,15,44.0,4076.59,01xk5dk9,ng,2600.0,20
d21a648c-851e-4cfb-8dc1-9849fa4daf59,dd80ba3a-51be-4085-a971-2dec07a0ef5c,15,0.0,4632.24,etak4i29,ng,3800.0,10
d21a648c-851e-4cfb-8dc1-9849fa4daf59,75660e6e-5d41-41e7-bb0f-bcbfb5c59dc7,15,14.0,4136.26,mrocn3qi,ng,2600.0,20
d21a648c-851e-4cfb-8dc1-9849fa4daf59,69f58951-637f-47ad-855a-b0f42596df49,15,10.0,5152.26,a9rbe355,ng,3800.0,10
726a00be-8059-48c7-903b-975c7adfccb7,9e3c7e0a-49b7-49f1-beea-90effe021eef,15,3.0,5656.0599999999995,e70ixf6a,ghp,2600.0,20
726a00be-8059-48c7-903b-975c7adfccb7,76d88ecc-b4df-4f11-94ec-38c989704bc9,15,11.0,4747.23,yvu0j0px,ghp,3800.0,10
726a00be-8059-48c7-903b-975c7adfccb7,9e6ea900-19fd-4017-9e86-e96fd2e637d3,15,6.0,5199.209999999999,8m72ygxx,ghp,2600.0,20
726a00be-8059-48c7-903b-975c7adfccb7,3e8ab49b-5ceb-4a7d-aae8-7978cb5154ac,15,70.0,1786.95,3mu21szb,ghp,3800.0,10
726a00be-8059-48c7-903b-975c7adfccb7,21728adc-060d-4620-9c21-4d4d7868785c,15,0.0,5217.28,caoxz34q,ghp,2600.0,20
726a00be-8059-48c7-903b-975c7adfccb7,ad92abd6-eee0-4ce7-9755-3874924d9408,15,0.0,5233.27,rdnkoe93,ghp,3800.0,10
04d50e49-bd58-4a7b-bf5a-9059d667defe,fd6f0243-c268-493d-8fe7-9cb23481b679,15,10.0,5230.63,9d6cveb5,ng,2600.0,20
04d50e49-bd58-4a7b-bf5a-9059d667defe,ebf80dcb-d05c-4847-bbe2-4cf0abaa4a53,15,0.0,4279.700000000001,6swie1ys,ng,3800.0,10
04d50e49-bd58-4a7b-bf5a-9059d667defe,de522537-a379-48b3-bdb9-49868265d69c,15,9.0,4757.17,dltkzvxc,ng,2600.0,20
04d50e49-bd58-4a7b-bf5a-9059d667defe,b3a77048-d8f5-4519-be9d-f5f920cfc48b,15,40.0,5076.34,weju7mc9,ng,3800.0,10
04d50e49-bd58-4a7b-bf5a-9059d667defe,e33ef6f7-38a3-4f35-8ad1-a2468532fed0,15,31.0,3796.0600000000004,dq2m7s6u,ng,2600.0,20
04d50e49-bd58-4a7b-bf5a-9059d667defe,2ba9601c-7731-44bf-a0de-3ff552d0dbf9,15,0.0,4700.099999999999,dw5igqpq,ng,3800.0,10
80f251dc-c278-4363-81ce-f661c1e5cc3d,fb078881-d83e-4888-911e-2d4b82dbaa61,15,0.0,4746.900000000001,1j25lcg3,gh,2600.0,20
80f251dc-c278-4363-81ce-f661c1e5cc3d,4ae8c830-6dc1-4198-8db9-774decd70766,15,27.0,4329.75,icxcbb3j,gh,3800.0,10
80f251dc-c278-4363-81ce-f661c1e5cc3d,6f6e6218-4a12-4430-bc4f-865c400db2f9,15,31.0,4314.030000000001,2dz5zxb2,gh,2600.0,20
80f251dc-c278-4363-81ce-f661c1e5cc3d,adadd121-affd-4970-8d5f-8aed11d7e571,15,25.0,4590.999999999999,108ssdya,gh,3800.0,10
80f251dc-c278-4363-81ce-f661c1e5cc3d,7c5ca57a-2c67-408a-b3ef-eb0e68b694d8,15,3.0,4958.09,sgu796fi,gh,2600.0,20
80f251dc-c278-4363-81ce-f661c1e5cc3d,7644083b-39ed-473f-9a1e-a9c6badcf1e6,15,4.0,4900.23,w7s9esrf,gh,3800.0,10
