market_uuid,trading_day,n_traders,avg_age,share_female,share_finance_course,share_trading_experience,share_high_education,avg_fin_quiz,sd_fin_quiz,avg_self_assessment,avg_overconfidence,sd_overconfidence,avg_cq_attempts,avg_wealth,sd_wealth,gini,avg_forecast,sd_forecast,share_feedback,share_speculator,share_fundamental,share_other,repetition,treatment,gamified,hedonic,price_notifications,n_trades_market,avg_trade_price,avg_mispricing,avg_abs_mispricing,closing_price,opening_price,max_price,min_price,fundamental_value,price_L1,price_L2,price_next,return,abs_mispricing_ratio,surge,crash,normalized_mispricing,bubble_period,bubble_start,cum_surge,cum_crash,cum_bubble_period
c790e030-d023-437b-b3f5-54393dc4bea4,13,6,22.5,0.16666666666666666,0.5,0.8333333333333334,0.5,0.7916666666666666,0.20241596335818537,6.0,-0.19166666666666668,0.09817784316682092,2.0,5606.666666666667,603.7590478880337,0.04863594926674583,,,0.3333333333333333,0.25,0.25,0.16666666666666666,1,ghp,1,1,1,4.0,34.75,10.75,10.75,31.0,38.0,38.0,31.0,24,45.99,50.99,11.0,-0.3259404218308328,0.4479166666666667,0,0,0.4479166666666667,0,0,0,0,0
1929c09c-602b-4617-8659-48b1a29c8097,14,6,21.166666666666668,0.3333333333333333,0.16666666666666666,0.8333333333333334,0.8333333333333334,0.7361111111111112,0.17808133805360674,4.5,-0.28611111111111115,0.34406340931524476,2.8333333333333335,6094.666666666664,1499.6956972888452,0.1262651316269237,,,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.0,1,ng,0,0,0,89.0,130.1873033707865,114.18730337078652,114.18730337078652,130.01,129.99,130.91,129.99,16,129.98,129.98,130.0,0.00023080473919057098,7.136706460674158,0,0,7.136706460674157,1,1,0,0,1
562efb1b-a346-43e9-8059-5c07029ce57e,14,6,21.166666666666668,0.16666666666666666,0.3333333333333333,0.16666666666666666,1.0,0.7361111111111112,0.09742043287083436,5.0,-0.23611111111111113,0.1901510121124981,3.8333333333333335,5885.333333333333,678.4890325912911,0.05646833937471682,,,0.38888888888888884,0.05555555555555555,0.5555555555555556,0.0,1,ghp,1,1,1,17.0,64.48882352941176,48.48882352941176,48.48882352941176,64.22,64.79,65.26,63.24,16,63.35,65.31,62.59,0.013733228097869032,3.030551470588235,0,0,3.030551470588235,0,0,1,0,0
c790e030-d023-437b-b3f5-54393dc4bea4,14,6,22.5,0.16666666666666666,0.5,0.8333333333333334,0.5,0.7916666666666666,0.20241596335818537,6.0,-0.19166666666666668,0.09817784316682092,2.0,5612.0,639.9205147828894,0.05119327631266323,,,0.3333333333333333,0.25,0.25,0.16666666666666666,1,ghp,1,1,1,11.0,11.909090909090908,-4.090909090909091,4.090909090909091,11.0,14.0,14.0,11.0,16,31.0,45.99,7.0,-0.6451612903225806,0.2556818181818182,0,0,-0.25568181818181823,0,0,0,0,0
1929c09c-602b-4617-8659-48b1a29c8097,15,6,21.166666666666668,0.3333333333333333,0.16666666666666666,0.8333333333333334,0.8333333333333334,0.7361111111111112,0.17808133805360674,4.5,-0.28611111111111115,0.34406340931524476,2.8333333333333335,6105.333333333331,1436.770016163572,0.1189202518744998,,,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.0,1,ng,0,0,0,31.0,130.00645161290322,122.00645161290322,122.00645161290322,130.0,130.01,130.02,129.99,8,130.01,129.98,,-7.691716021840378e-05,15.250806451612902,0,0,15.250806451612902,1,0,0,0,2
562efb1b-a346-43e9-8059-5c07029ce57e,15,6,21.166666666666668,0.16666666666666666,0.3333333333333333,0.16666666666666666,1.0,0.7361111111111112,0.09742043287083436,5.0,-0.23611111111111113,0.1901510121124981,3.8333333333333335,5890.666666666667,785.0387222721345,0.06571242643730188,,,0.38888888888888884,0.05555555555555555,0.5555555555555556,0.0,1,ghp,1,1,1,19.0,63.51947368421053,55.51947368421053,55.51947368421053,62.59,63.21,66.26,62.54,8,64.22,63.35,,-0.025381501090003034,6.939934210526316,0,0,6.939934210526316,1,1,1,0,1
c790e030-d023-437b-b3f5-54393dc4bea4,15,6,22.5,0.16666666666666666,0.5,0.8333333333333334,0.5,0.7916666666666666,0.20241596335818537,6.0,-0.19166666666666668,0.09817784316682092,2.0,5602.666666666667,644.9970694403692,0.05194193241313647,,,0.3333333333333333,0.25,0.25,0.16666666666666666,1,ghp,1,1,1,4.0,6.755,-1.245,1.245,7.0,7.0,7.01,6.01,8,11.0,31.0,,-0.36363636363636365,0.155625,0,0,-0.155625,0,0,0,0,0
7639dc96-fd01-4576-8cdc-79c9d30dcd81,1,6,22.5,0.16666666666666666,0.5,0.8333333333333334,0.5,0.7916666666666666,0.20241596335818537,6.0,-0.19166666666666668,0.09817784316682092,2.0,5200.0,378.0079364246206,0.028846153846153848,,,0.25,0.25,0.3333333333333333,0.16666666666666666,2,ghp,1,1,1,1.0,105.0,-15.0,15.0,105.0,105.0,105.0,105.0,120,,,140.0,,0.125,0,0,-0.125,0,0,0,0,0
aa648e2e-d329-4dd5-8902-af2bb6347519,1,6,21.166666666666668,0.3333333333333333,0.16666666666666666,0.8333333333333334,0.8333333333333334,0.7361111111111112,0.17808133805360674,4.5,-0.28611111111111115,0.34406340931524476,2.8333333333333335,5200.0,187.72434067003653,0.01753782051282052,,,0.08333333333333333,0.5,0.4166666666666667,0.0,2,ng,0,0,0,8.0,108.035,-11.964999999999998,15.535000000000002,122.51,10.0,125.0,10.0,120,,,126.0,,0.12945833333333334,0,0,-0.09970833333333336,0,0,0,0,0
c06d584f-16fe-42a0-a5b0-281026bd6ca3,1,6,21.166666666666668,0.16666666666666666,0.3333333333333333,0.16666666666666666,1.0,0.7361111111111112,0.09742043287083436,5.0,-0.23611111111111113,0.1901510121124981,3.8333333333333335,5220.0,288.516970592719,0.026174755214985083,,,0.16666666666666666,0.5,0.3333333333333333,0.0,2,ghp,1,1,1,11.0,87.56545454545454,-32.43454545454546,32.43454545454546,87.36,74.5,118.32,56.5,120,,,60.96,,0.2702878787878788,0,0,-0.2702878787878788,0,0,0,0,0
7639dc96-fd01-4576-8cdc-79c9d30dcd81,2,6,22.5,0.16666666666666666,0.5,0.8333333333333334,0.5,0.7916666666666666,0.20241596335818537,6.0,-0.19166666666666668,0.09817784316682092,2.0,4946.666666666667,58.7117251208536,0.005828840970350404,,,0.25,0.25,0.3333333333333333,0.16666666666666666,2,ghp,1,1,1,5.0,156.0,44.0,44.0,140.0,155.0,165.0,140.0,112,105.0,,150.0,0.33333333333333326,0.39285714285714285,1,0,0.39285714285714285,0,0,1,0,0
aa648e2e-d329-4dd5-8902-af2bb6347519,2,6,21.166666666666668,0.3333333333333333,0.16666666666666666,0.8333333333333334,0.8333333333333334,0.7361111111111112,0.17808133805360674,4.5,-0.28611111111111115,0.34406340931524476,2.8333333333333335,5469.333333333333,458.9994487433143,0.03788141963269951,,,0.08333333333333333,0.5,0.4166666666666667,0.0,2,ng,0,0,0,20.0,128.1155,16.1155,16.1155,126.0,127.0,129.97,120.01,112,122.51,,126.0,0.02848747041057864,0.14388839285714286,0,0,0.14388839285714283,0,0,0,0,0
c06d584f-16fe-42a0-a5b0-281026bd6ca3,2,6,21.166666666666668,0.16666666666666666,0.3333333333333333,0.16666666666666666,1.0,0.7361111111111112,0.09742043287083436,5.0,-0.23611111111111113,0.1901510121124981,3.8333333333333335,5078.0,151.3624279667842,0.01504146426852214,,,0.16666666666666666,0.5,0.3333333333333333,0.0,2,ghp,1,1,1,11.0,64.68363636363637,-47.31636363636364,47.31636363636364,60.96,60.91,98.7,55.47,112,87.36,,75.0,-0.30219780219780223,0.4224675324675325,0,0,-0.42246753246753244,0,0,0,0,0
7639dc96-fd01-4576-8cdc-79c9d30dcd81,3,6,22.5,0.16666666666666666,0.5,0.8333333333333334,0.5,0.7916666666666666,0.20241596335818537,6.0,-0.19166666666666668,0.09817784316682092,2.0,5196.0,333.0423396506817,0.031060217261141047,110.0,1344.0932507332468,0.25,0.25,0.3333333333333333,0.16666666666666666,2,ghp,1,1,1,16.0,126.5625,22.5625,22.5625,150.0,120.0,150.0,110.0,104,140.0,105.0,87.0,0.0714285714285714,0.2169471153846154,0,0,0.2169471153846154,0,0,1,0,0
aa648e2e-d329-4dd5-8902-af2bb6347519,3,6,21.166666666666668,0.3333333333333333,0.16666666666666666,0.8333333333333334,0.8333333333333334,0.7361111111111112,0.17808133805360674,4.5,-0.28611111111111115,0.34406340931524476,2.8333333333333335,5376.0,325.90830084549714,0.028872974537036963,125.0,3.674234614174765,0.08333333333333333,0.5,0.4166666666666667,0.0,2,ng,0,0,0,28.0,123.99357142857143,19.993571428571432,19.993571428571432,126.0,125.61,127.43,120.01,104,126.0,122.51,131.21,0.0,0.19224587912087915,0,0,0.19224587912087912,0,0,0,0,0
c06d584f-16fe-42a0-a5b0-281026bd6ca3,3,6,21.166666666666668,0.16666666666666666,0.3333333333333333,0.16666666666666666,1.0,0.7361111111111112,0.09742043287083436,5.0,-0.23611111111111113,0.1901510121124981,3.8333333333333335,5220.0,194.59871335648663,0.019100361856109,63.0,6.96897888263888,0.16666666666666666,0.5,0.3333333333333333,0.0,2,ghp,1,1,1,8.0,70.47875,-33.52125,33.52125,75.0,60.0,80.6,55.71,104,60.96,87.36,68.71,0.2303149606299213,0.32231971153846156,0,0,-0.3223197115384615,0,0,0,0,0
7639dc96-fd01-4576-8cdc-79c9d30dcd81,4,6,22.5,0.16666666666666666,0.5,0.8333333333333334,0.5,0.7916666666666666,0.20241596335818537,6.0,-0.19166666666666668,0.09817784316682092,2.0,5054.666666666667,384.8592816428709,0.03839136551481579,,,0.25,0.25,0.3333333333333333,0.16666666666666666,2,ghp,1,1,1,11.0,123.54545454545455,27.545454545454547,29.181818181818183,87.0,140.0,140.0,87.0,96,150.0,140.0,110.0,-0.42000000000000004,0.30397727272727276,0,1,0.2869318181818182,0,0,1,1,0
aa648e2e-d329-4dd5-8902-af2bb6347519,4,6,21.166666666666668,0.3333333333333333,0.16666666666666666,0.8333333333333334,0.8333333333333334,0.7361111111111112,0.17808133805360674,4.5,-0.28611111111111115,0.34406340931524476,2.8333333333333335,5420.0,1122.5858890258671,0.09430032800327992,,,0.08333333333333333,0.5,0.4166666666666667,0.0,2,ng,0,0,0,53.0,130.27094339622641,34.270943396226414,34.270943396226414,131.21,126.0,132.25,126.0,96,126.0,126.0,129.88,0.04134920634920647,0.3569889937106918,0,0,0.3569889937106918,0,0,0,0,0
c06d584f-16fe-42a0-a5b0-281026bd6ca3,4,6,21.166666666666668,0.16666666666666666,0.3333333333333333,0.16666666666666666,1.0,0.7361111111111112,0.09742043287083436,5.0,-0.23611111111111113,0.1901510121124981,3.8333333333333335,5318.666666666667,571.6280337305604,0.046926965822679016,,,0.16666666666666666,0.5,0.3333333333333333,0.0,2,ghp,1,1,1,29.0,68.47068965517241,-27.529310344827586,27.529310344827586,68.71,60.0,76.82,55.46,96,75.0,60.96,68.26,-0.08386666666666676,0.28676364942528737,0,0,-0.2867636494252874,0,0,0,0,0
