session_code,participant_code,market_uuid,trader_uuid,gamified,treatment,trading_day,payoff,initial_cash,forecast,forecast_confidence,current_cash,num_shares,trade_payoff,fin_quiz_score,self_assessment,overconfidence,cq_attempt_count,gender_female,age,finance_course,trading_experience,high_education,hedonic,price_notifications,repetition,n_buys,n_sells,net_position,n_trades_market,avg_trade_price,avg_mispricing,avg_abs_mispricing,closing_price,opening_price,max_price,min_price,fundamental_value,price_L1,price_L2,price_next,return,abs_mispricing_ratio,surge,crash,normalized_mispricing,bubble_period,bubble_start,wealth_day,gini,feedback_flag,speculator_flag,fundamental_flag,other_flag
qxgij9sh,tzbpp88u,c06d584f-16fe-42a0-a5b0-281026bd6ca3,dfd6c39d-ffc1-4115-942a-8b07c09007e9,1,ghp,11,5765.0,3800.0,,,4480.199999999999,26.0,5545.0,0.8333333333333334,5,-0.33333333333333337,3,0,23,0,0,1,1,1,2,6.0,10.0,-4.0,22.0,64.91909090909091,24.91909090909091,24.91909090909091,65.44,64.5,66.22,64.0,40,64.25,65.21,66.19,0.018521400778210184,0.6229772727272728,0,0,0.6229772727272728,0,0,5520.199999999999,0.03402443642519821,0.5,0.0,0.5,0.0
qxgij9sh,gr27p5tr,c06d584f-16fe-42a0-a5b0-281026bd6ca3,b1b707e4-d832-44a3-9c9f-a683db402492,1,ghp,11,5642.0,2600.0,,,4236.660000000001,20.0,5532.0,0.5833333333333334,7,0.11666666666666659,3,0,19,1,1,1,1,1,2,3.0,1.0,2.0,22.0,64.91909090909091,24.91909090909091,24.91909090909091,65.44,64.5,66.22,64.0,40,64.25,65.21,66.19,0.018521400778210184,0.6229772727272728,0,0,0.6229772727272728,0,0,5036.660000000001,0.03402443642519821,0.0,0.0,1.0,0.0
qxgij9sh,e60078af,c06d584f-16fe-42a0-a5b0-281026bd6ca3,316252be-ca5a-49d1-8696-39b139312e4e,1,ghp,11,4972.0,3800.0,,,4088.4,27.0,4782.0,0.75,6,-0.15000000000000002,10,0,21,0,0,1,1,1,2,1.0,0.0,1.0,22.0,64.91909090909091,24.91909090909091,24.91909090909091,65.44,64.5,66.22,64.0,40,64.25,65.21,66.19,0.018521400778210184,0.6229772727272728,0,0,0.6229772727272728,0,0,5168.4,0.03402443642519821,0.5,0.0,0.5,0.0
qxgij9sh,g9jo03o9,7639dc96-fd01-4576-8cdc-79c9d30dcd81,66251611-12a2-4944-8723-b591a69a9824,1,ghp,12,5611.0,2600.0,15.0,3.0,4210.0,20.0,5521.0,0.4166666666666667,1,-0.31666666666666665,1,1,20,0,0,0,1,1,2,0.0,0.0,0.0,10.0,21.978,-10.022,10.022,18.13,24.75,25.0,18.13,32,21.57,41.0,15.0,-0.1594807603152527,0.3131875,0,0,-0.31318749999999995,0,0,4850.0,0.06384651286838237,0.0,0.0,0.0,1.0
qxgij9sh,h0ebvwds,7639dc96-fd01-4576-8cdc-79c9d30dcd81,0d138ea8-8160-4263-bab0-ef399294f8a7,1,ghp,12,5268.0,3800.0,12.0,3.0,4976.41,7.0,5128.0,0.8333333333333334,7,-0.13333333333333341,1,0,33,0,1,1,1,1,2,2.0,0.0,2.0,10.0,21.978,-10.022,10.022,18.13,24.75,25.0,18.13,32,21.57,41.0,15.0,-0.1594807603152527,0.3131875,0,0,-0.31318749999999995,0,0,5200.41,0.06384651286838237,0.0,0.0,1.0,0.0
qxgij9sh,u2aoz11d,7639dc96-fd01-4576-8cdc-79c9d30dcd81,145e83a3-2fb7-443a-93d3-6f7e84aec434,1,ghp,12,4992.0,2600.0,10.0,4.0,4838.639999999999,5.0,4892.0,0.8333333333333334,7,-0.13333333333333341,2,0,19,1,1,0,1,1,2,1.0,4.0,-3.0,10.0,21.978,-10.022,10.022,18.13,24.75,25.0,18.13,32,21.57,41.0,15.0,-0.1594807603152527,0.3131875,0,0,-0.31318749999999995,0,0,4998.639999999999,0.06384651286838237,0.0,1.0,0.0,0.0
qxgij9sh,90ay03zv,7639dc96-fd01-4576-8cdc-79c9d30dcd81,9cf3eabc-27f7-4754-a78b-8b9b1aca36d4,1,ghp,12,4543.0,3800.0,4400.0,4.0,4222.26,15.0,4453.0,0.75,6,-0.15000000000000002,1,0,22,1,1,1,1,1,2,0.0,1.0,-1.0,10.0,21.978,-10.022,10.022,18.13,24.75,25.0,18.13,32,21.57,41.0,15.0,-0.1594807603152527,0.3131875,0,0,-0.31318749999999995,0,0,4702.26,0.06384651286838237,0.5,0.5,0.0,0.0
qxgij9sh,ukmvlwcs,7639dc96-fd01-4576-8cdc-79c9d30dcd81,4ffcf78f-4023-4892-9eef-146a5c209835,1,ghp,12,5655.0,2600.0,12.0,2.0,4827.119999999999,40.0,5515.0,1.0,9,-0.09999999999999998,3,0,21,1,1,1,1,1,2,7.0,0.0,7.0,10.0,21.978,-10.022,10.022,18.13,24.75,25.0,18.13,32,21.57,41.0,15.0,-0.1594807603152527,0.3131875,0,0,-0.31318749999999995,0,0,6107.119999999999,0.06384651286838237,0.0,0.0,1.0,0.0
qxgij9sh,ehyb34jx,7639dc96-fd01-4576-8cdc-79c9d30dcd81,88efbdd9-40ef-4c34-921a-f39cc16113ce,1,ghp,12,4044.0,3800.0,5.0,5.0,3881.5700000000015,8.0,3934.0,0.9166666666666666,6,-0.31666666666666665,4,0,20,0,1,0,1,1,2,0.0,5.0,-5.0,10.0,21.978,-10.022,10.022,18.13,24.75,25.0,18.13,32,21.57,41.0,15.0,-0.1594807603152527,0.3131875,0,0,-0.31318749999999995,0,0,4137.5700000000015,0.06384651286838237,1.0,0.0,0.0,0.0
qxgij9sh,6xvvhy1g,aa648e2e-d329-4dd5-8902-af2bb6347519,266b409b-ab01-469b-9133-7915001aa253,0,ng,12,4941.0,2600.0,131.0,3.0,4582.800000000011,16.0,4691.0,0.75,1,-0.65,2,0,22,0,1,1,0,0,2,16.0,11.0,5.0,30.0,131.10266666666666,99.10266666666666,99.10266666666666,131.2,131.03,131.2,130.99,32,131.02,131.01,131.36,0.0013738360555639595,3.0969583333333333,0,0,3.0969583333333333,0,0,5094.800000000011,0.1157048239208046,0.0,0.0,1.0,0.0
qxgij9sh,o6ptk42l,aa648e2e-d329-4dd5-8902-af2bb6347519,a1224b50-e54d-4401-acb4-4fb3bfac8e8d,0,ng,12,5638.0,3800.0,131.0,3.0,5388.36,1.0,5398.0,0.8333333333333334,4,-0.43333333333333335,1,1,20,0,1,1,0,0,2,0.0,2.0,-2.0,30.0,131.10266666666666,99.10266666666666,99.10266666666666,131.2,131.03,131.2,130.99,32,131.02,131.01,131.36,0.0013738360555639595,3.0969583333333333,0,0,3.0969583333333333,0,0,5420.36,0.1157048239208046,0.5,0.0,0.5,0.0
qxgij9sh,vitm387c,aa648e2e-d329-4dd5-8902-af2bb6347519,4f2980e2-d10c-4c68-937f-78d5142dc0ef,0,ng,12,4427.0,2600.0,131.0,3.0,1918.6499999999996,45.0,4227.0,0.5,1,-0.4,3,0,22,0,0,1,0,0,2,0.0,0.0,0.0,30.0,131.10266666666666,99.10266666666666,99.10266666666666,131.2,131.03,131.2,130.99,32,131.02,131.01,131.36,0.0013738360555639595,3.0969583333333333,0,0,3.0969583333333333,0,0,3358.6499999999996,0.1157048239208046,0.0,1.0,0.0,0.0
qxgij9sh,nngm5qgp,aa648e2e-d329-4dd5-8902-af2bb6347519,198ae65a-873c-4c68-a85e-66eac976c7ab,0,ng,12,521.0,3800.0,131.0,2.0,5416.740000000001,4.0,261.0,1.0,5,-0.5,5,0,22,0,1,1,0,0,2,0.0,1.0,-1.0,30.0,131.10266666666666,99.10266666666666,99.10266666666666,131.2,131.03,131.2,130.99,32,131.02,131.01,131.36,0.0013738360555639595,3.0969583333333333,0,0,3.0969583333333333,0,0,5544.740000000001,0.1157048239208046,0.0,1.0,0.0,0.0
qxgij9sh,9x5fpgk2,aa648e2e-d329-4dd5-8902-af2bb6347519,8ca21702-83a8-4430-9ead-0119fc913da6,0,ng,12,6999.0,2600.0,120.0,1.0,5616.029999999996,50.0,6849.0,0.75,10,0.25,4,1,21,0,1,1,0,0,2,12.0,1.0,11.0,30.0,131.10266666666666,99.10266666666666,99.10266666666666,131.2,131.03,131.2,130.99,32,131.02,131.01,131.36,0.0013738360555639595,3.0969583333333333,0,0,3.0969583333333333,0,0,7216.029999999996,0.1157048239208046,0.0,0.5,0.5,0.0
qxgij9sh,7d70uqk8,aa648e2e-d329-4dd5-8902-af2bb6347519,218b254a-e7c1-4487-8aff-ff693b11673d,0,ng,12,9064.0,3800.0,132.0,5.0,5781.419999999995,14.0,8854.0,0.5833333333333334,6,0.016666666666666607,2,0,20,1,1,0,0,0,2,2.0,15.0,-13.0,30.0,131.10266666666666,99.10266666666666,99.10266666666666,131.2,131.03,131.2,130.99,32,131.02,131.01,131.36,0.0013738360555639595,3.0969583333333333,0,0,3.0969583333333333,0,0,6229.419999999995,0.1157048239208046,0.0,0.5,0.5,0.0
qxgij9sh,dadcupjc,c06d584f-16fe-42a0-a5b0-281026bd6ca3,571f8b54-ffdc-4466-8066-90fb81d9dfc1,1,ghp,12,5593.0,2600.0,0.0,0.0,4251.2699999999995,11.0,5453.0,0.6666666666666666,3,-0.36666666666666664,1,1,18,0,0,1,1,1,2,1.0,0.0,1.0,32.0,65.99625,33.996249999999996,33.996249999999996,66.19,65.45,66.74,64.94,32,65.44,64.25,64.47,0.011460880195599099,1.0623828124999999,0,0,1.0623828125,0,0,4603.2699999999995,0.04179911772451934,0.0,1.0,0.0,0.0
qxgij9sh,stzawa55,c06d584f-16fe-42a0-a5b0-281026bd6ca3,29127936-c621-49bd-a572-059f4be7598b,1,ghp,12,6667.0,3800.0,65.0,3.0,4568.699999999998,10.0,6477.0,0.75,4,-0.35,3,0,24,0,0,1,1,1,2,8.0,7.0,1.0,32.0,65.99625,33.996249999999996,33.996249999999996,66.19,65.45,66.74,64.94,32,65.44,64.25,64.47,0.011460880195599099,1.0623828124999999,0,0,1.0623828125,0,0,4888.699999999998,0.04179911772451934,0.0,1.0,0.0,0.0
qxgij9sh,ja9vp1ab,c06d584f-16fe-42a0-a5b0-281026bd6ca3,697c6d90-c662-4d2a-b95d-90564ff71af6,1,ghp,12,7291.0,2600.0,66.0,2.0,4715.700000000003,0.0,7091.0,0.8333333333333334,5,-0.33333333333333337,3,0,22,1,0,1,1,1,2,7.0,9.0,-2.0,32.0,65.99625,33.996249999999996,33.996249999999996,66.19,65.45,66.74,64.94,32,65.44,64.25,64.47,0.011460880195599099,1.0623828124999999,0,0,1.0623828125,0,0,4715.700000000003,0.04179911772451934,0.0,1.0,0.0,0.0
qxgij9sh,tzbpp88u,c06d584f-16fe-42a0-a5b0-281026bd6ca3,dfd6c39d-ffc1-4115-942a-8b07c09007e9,1,ghp,12,5765.0,3800.0,66.0,1.0,4683.1799999999985,22.0,5545.0,0.8333333333333334,5,-0.33333333333333337,3,0,23,0,0,1,1,1,2,14.0,14.0,0.0,32.0,65.99625,33.996249999999996,33.996249999999996,66.19,65.45,66.74,64.94,32,65.44,64.25,64.47,0.011460880195599099,1.0623828124999999,0,0,1.0623828125,0,0,5387.1799999999985,0.04179911772451934,0.5,0.0,0.5,0.0
qxgij9sh,gr27p5tr,c06d584f-16fe-42a0-a5b0-281026bd6ca3,b1b707e4-d832-44a3-9c9f-a683db402492,1,ghp,12,5642.0,2600.0,65.0,3.0,4529.900000000001,36.0,5532.0,0.5833333333333334,7,0.11666666666666659,3,0,19,1,1,1,1,1,2,0.0,2.0,-2.0,32.0,65.99625,33.996249999999996,33.996249999999996,66.19,65.45,66.74,64.94,32,65.44,64.25,64.47,0.011460880195599099,1.0623828124999999,0,0,1.0623828125,0,0,5681.900000000001,0.04179911772451934,0.0,0.0,1.0,0.0
qxgij9sh,e60078af,c06d584f-16fe-42a0-a5b0-281026bd6ca3,316252be-ca5a-49d1-8696-39b139312e4e,1,ghp,12,4972.0,3800.0,66.0,4.0,4171.25,29.0,4782.0,0.75,6,-0.15000000000000002,10,0,21,0,0,1,1,1,2,2.0,0.0,2.0,32.0,65.99625,33.996249999999996,33.996249999999996,66.19,65.45,66.74,64.94,32,65.44,64.25,64.47,0.011460880195599099,1.0623828124999999,0,0,1.0623828125,0,0,5099.25,0.04179911772451934,0.5,0.0,0.5,0.0
qxgij9sh,g9jo03o9,7639dc96-fd01-4576-8cdc-79c9d30dcd81,66251611-12a2-4944-8723-b591a69a9824,1,ghp,13,5611.0,2600.0,,,4210.0,20.0,5521.0,0.4166666666666667,1,-0.31666666666666665,1,1,20,0,0,0,1,1,2,0.0,0.0,0.0,14.0,13.964285714285714,-10.035714285714286,10.035714285714286,15.0,15.5,20.0,10.0,24,18.13,21.57,13.5,-0.17264202978488685,0.4181547619047619,0,0,-0.4181547619047619,0,0,4690.0,0.0679812399908487,0.0,0.0,0.0,1.0
qxgij9sh,h0ebvwds,7639dc96-fd01-4576-8cdc-79c9d30dcd81,0d138ea8-8160-4263-bab0-ef399294f8a7,1,ghp,13,5268.0,3800.0,,,4953.41,9.0,5128.0,0.8333333333333334,7,-0.13333333333333341,1,0,33,0,1,1,1,1,2,3.0,2.0,1.0,14.0,13.964285714285714,-10.035714285714286,10.035714285714286,15.0,15.5,20.0,10.0,24,18.13,21.57,13.5,-0.17264202978488685,0.4181547619047619,0,0,-0.4181547619047619,0,0,5169.41,0.0679812399908487,0.0,0.0,1.0,0.0
qxgij9sh,u2aoz11d,7639dc96-fd01-4576-8cdc-79c9d30dcd81,145e83a3-2fb7-443a-93d3-6f7e84aec434,1,ghp,13,4992.0,2600.0,,,4894.639999999999,0.0,4892.0,0.8333333333333334,7,-0.13333333333333341,2,0,19,1,1,0,1,1,2,0.0,4.0,-4.0,14.0,13.964285714285714,-10.035714285714286,10.035714285714286,15.0,15.5,20.0,10.0,24,18.13,21.57,13.5,-0.17264202978488685,0.4181547619047619,0,0,-0.4181547619047619,0,0,4894.639999999999,0.0679812399908487,0.0,1.0,0.0,0.0
qxgij9sh,90ay03zv,7639dc96-fd01-4576-8cdc-79c9d30dcd81,9cf3eabc-27f7-4754-a78b-8b9b1aca36d4,1,ghp,13,4543.0,3800.0,,,4259.26,11.0,4453.0,0.75,6,-0.15000000000000002,1,0,22,1,1,1,1,1,2,0.0,2.0,-2.0,14.0,13.964285714285714,-10.035714285714286,10.035714285714286,15.0,15.5,20.0,10.0,24,18.13,21.57,13.5,-0.17264202978488685,0.4181547619047619,0,0,-0.4181547619047619,0,0,4523.26,0.0679812399908487,0.5,0.5,0.0,0.0
qxgij9sh,ukmvlwcs,7639dc96-fd01-4576-8cdc-79c9d30dcd81,4ffcf78f-4023-4892-9eef-146a5c209835,1,ghp,13,5655.0,2600.0,,,4681.619999999999,51.0,5515.0,1.0,9,-0.09999999999999998,3,0,21,1,1,1,1,1,2,11.0,0.0,11.0,14.0,13.964285714285714,-10.035714285714286,10.035714285714286,15.0,15.5,20.0,10.0,24,18.13,21.57,13.5,-0.17264202978488685,0.4181547619047619,0,0,-0.4181547619047619,0,0,5905.619999999999,0.0679812399908487,0.0,0.0,1.0,0.0
qxgij9sh,ehyb34jx,7639dc96-fd01-4576-8cdc-79c9d30dcd81,88efbdd9-40ef-4c34-921a-f39cc16113ce,1,ghp,13,4044.0,3800.0,,,3957.0700000000015,0.0,3934.0,0.9166666666666666,6,-0.31666666666666665,4,0,20,0,1,0,1,1,2,0.0,6.0,-6.0,14.0,13.964285714285714,-10.035714285714286,10.035714285714286,15.0,15.5,20.0,10.0,24,18.13,21.57,13.5,-0.17264202978488685,0.4181547619047619,0,0,-0.4181547619047619,0,0,3957.0700000000015,0.0679812399908487,1.0,0.0,0.0,0.0
qxgij9sh,6xvvhy1g,aa648e2e-d329-4dd5-8902-af2bb6347519,266b409b-ab01-469b-9133-7915001aa253,0,ng,13,4941.0,2600.0,,,113.2000000000114,50.0,4691.0,0.75,1,-0.65,2,0,22,0,1,1,0,0,2,34.0,0.0,34.0,42.0,131.44261904761905,107.44261904761905,107.44261904761905,131.36,131.2,131.5,131.2,24,131.2,131.02,130.99,0.0012195121951221743,4.476775793650794,0,0,4.476775793650794,0,0,1313.2000000000114,0.27328495630461863,0.0,0.0,1.0,0.0
qxgij9sh,o6ptk42l,aa648e2e-d329-4dd5-8902-af2bb6347519,a1224b50-e54d-4401-acb4-4fb3bfac8e8d,0,ng,13,5638.0,3800.0,,,5388.5599999999995,1.0,5398.0,0.8333333333333334,4,-0.43333333333333335,1,1,20,0,1,1,0,0,2,1.0,1.0,0.0,42.0,131.44261904761905,107.44261904761905,107.44261904761905,131.36,131.2,131.5,131.2,24,131.2,131.02,130.99,0.0012195121951221743,4.476775793650794,0,0,4.476775793650794,0,0,5412.5599999999995,0.27328495630461863,0.5,0.0,0.5,0.0
qxgij9sh,vitm387c,aa648e2e-d329-4dd5-8902-af2bb6347519,4f2980e2-d10c-4c68-937f-78d5142dc0ef,0,ng,13,4427.0,2600.0,,,1918.6499999999996,45.0,4227.0,0.5,1,-0.4,3,0,22,0,0,1,0,0,2,0.0,0.0,0.0,42.0,131.44261904761905,107.44261904761905,107.44261904761905,131.36,131.2,131.5,131.2,24,131.2,131.02,130.99,0.0012195121951221743,4.476775793650794,0,0,4.476775793650794,0,0,2998.6499999999996,0.27328495630461863,0.0,1.0,0.0,0.0
qxgij9sh,nngm5qgp,aa648e2e-d329-4dd5-8902-af2bb6347519,198ae65a-873c-4c68-a85e-66eac976c7ab,0,ng,13,521.0,3800.0,,,5810.680000000001,2.0,261.0,1.0,5,-0.5,5,0,22,0,1,1,0,0,2,1.0,4.0,-3.0,42.0,131.44261904761905,107.44261904761905,107.44261904761905,131.36,131.2,131.5,131.2,24,131.2,131.02,130.99,0.0012195121951221743,4.476775793650794,0,0,4.476775793650794,0,0,5858.680000000001,0.27328495630461863,0.0,1.0,0.0,0.0
qxgij9sh,9x5fpgk2,aa648e2e-d329-4dd5-8902-af2bb6347519,8ca21702-83a8-4430-9ead-0119fc913da6,0,ng,13,6999.0,2600.0,,,6404.2099999999955,38.0,6849.0,0.75,10,0.25,4,1,21,0,1,1,0,0,2,3.0,9.0,-6.0,42.0,131.44261904761905,107.44261904761905,107.44261904761905,131.36,131.2,131.5,131.2,24,131.2,131.02,130.99,0.0012195121951221743,4.476775793650794,0,0,4.476775793650794,0,0,7316.2099999999955,0.27328495630461863,0.0,0.5,0.5,0.0
qxgij9sh,7d70uqk8,aa648e2e-d329-4dd5-8902-af2bb6347519,218b254a-e7c1-4487-8aff-ff693b11673d,0,ng,13,9064.0,3800.0,,,9068.699999999992,3.0,8854.0,0.5833333333333334,6,0.016666666666666607,2,0,20,1,1,0,0,0,2,3.0,28.0,-25.0,42.0,131.44261904761905,107.44261904761905,107.44261904761905,131.36,131.2,131.5,131.2,24,131.2,131.02,130.99,0.0012195121951221743,4.476775793650794,0,0,4.476775793650794,0,0,9140.699999999992,0.27328495630461863,0.0,0.5,0.5,0.0
qxgij9sh,dadcupjc,c06d584f-16fe-42a0-a5b0-281026bd6ca3,571f8b54-ffdc-4466-8066-90fb81d9dfc1,1,ghp,13,5593.0,2600.0,,,4315.74,10.0,5453.0,0.6666666666666666,3,-0.36666666666666664,1,1,18,0,0,1,1,1,2,0.0,1.0,-1.0,8.0,64.45375,40.45375,40.45375,64.47,64.41,64.58,64.33,24,66.19,65.44,64.76,-0.025985798458981746,1.6855729166666666,0,0,1.6855729166666666,0,0,4555.74,0.03694406455142219,0.0,1.0,0.0,0.0
qxgij9sh,stzawa55,c06d584f-16fe-42a0-a5b0-281026bd6ca3,29127936-c621-49bd-a572-059f4be7598b,1,ghp,13,6667.0,3800.0,,,4439.749999999998,12.0,6477.0,0.75,4,-0.35,3,0,24,0,0,1,1,1,2,2.0,0.0,2.0,8.0,64.45375,40.45375,40.45375,64.47,64.41,64.58,64.33,24,66.19,65.44,64.76,-0.025985798458981746,1.6855729166666666,0,0,1.6855729166666666,0,0,4727.749999999998,0.03694406455142219,0.0,1.0,0.0,0.0
qxgij9sh,ja9vp1ab,c06d584f-16fe-42a0-a5b0-281026bd6ca3,697c6d90-c662-4d2a-b95d-90564ff71af6,1,ghp,13,7291.0,2600.0,,,4457.910000000003,4.0,7091.0,0.8333333333333334,5,-0.33333333333333337,3,0,22,1,0,1,1,1,2,4.0,0.0,4.0,8.0,64.45375,40.45375,40.45375,64.47,64.41,64.58,64.33,24,66.19,65.44,64.76,-0.025985798458981746,1.6855729166666666,0,0,1.6855729166666666,0,0,4553.910000000003,0.03694406455142219,0.0,1.0,0.0,0.0
qxgij9sh,tzbpp88u,c06d584f-16fe-42a0-a5b0-281026bd6ca3,dfd6c39d-ffc1-4115-942a-8b07c09007e9,1,ghp,13,5765.0,3800.0,,,5134.339999999997,15.0,5545.0,0.8333333333333334,5,-0.33333333333333337,3,0,23,0,0,1,1,1,2,0.0,7.0,-7.0,8.0,64.45375,40.45375,40.45375,64.47,64.41,64.58,64.33,24,66.19,65.44,64.76,-0.025985798458981746,1.6855729166666666,0,0,1.6855729166666666,0,0,5494.339999999997,0.03694406455142219,0.5,0.0,0.5,0.0
