market_uuid,trading_day,avg_wealth,sd_wealth,gini,avg_forecast,sd_forecast,avg_overconfidence,share_feedback,share_speculator,share_fundamental,share_other,repetition,gamified,hybrid,algo_present,n_trades_market,avg_trade_price,avg_mispricing,avg_abs_mispricing,closing_price,opening_price,max_price,min_price,fundamental_value,price_L1,price_L2,price_next,return,abs_mispricing_ratio,surge,crash,normalized_mispricing,bubble_period,bubble_start,cum_surge,cum_crash,cum_bubble_period
418c69c6-ec34-43cb-8592-f2fd1b6fcf4f,11,5486.5,186.69685130101763,0.017725325799690148,,,0.0729166666666667,0.0,0.125,0.25,0.625,1,1,1,0,0.0,,,,66.0,,,,40,66.0,55.0,33.0,0.0,,0,0,,0,0,0,0,0
418c69c6-ec34-43cb-8592-f2fd1b6fcf4f,12,5486.5,186.87046697798834,0.01779937118381482,24.75,35.95532942813505,0.0729166666666667,0.0,0.125,0.25,0.625,1,1,1,0,3.0,35.333333333333336,3.3333333333333335,3.3333333333333335,33.0,38.0,38.0,33.0,32,66.0,66.0,80.0,-0.5,0.10416666666666667,0,0,0.10416666666666674,0,0,0,0,0
418c69c6-ec34-43cb-8592-f2fd1b6fcf4f,13,5489.5,196.41683263625126,0.018945828399672102,,,0.0729166666666667,0.0,0.125,0.25,0.625,1,1,1,0,2.0,85.025,61.025,61.025,80.0,90.05,90.05,80.0,24,33.0,66.0,11.0,1.4242424242424243,2.542708333333333,1,0,2.5427083333333336,1,1,1,0,1
418c69c6-ec34-43cb-8592-f2fd1b6fcf4f,14,5487.5,209.4660916984622,0.020125569476082007,,,0.0729166666666667,0.0,0.125,0.25,0.625,1,1,1,0,4.0,43.5,27.5,31.5,11.0,80.0,80.0,11.0,16,80.0,33.0,19.0,-0.8625,1.96875,0,0,1.71875,0,0,1,0,1
418c69c6-ec34-43cb-8592-f2fd1b6fcf4f,15,5487.5,210.7307032345175,0.020267938496583145,,,0.0729166666666667,0.0,0.125,0.25,0.625,1,1,1,0,2.0,20.5,12.5,12.5,19.0,22.0,22.0,19.0,8,11.0,80.0,,0.7272727272727273,1.5625,0,0,1.5625,0,0,1,0,1
03af9f8b-508e-452c-9c35-0eeba0e3b3cc,1,5000.0,7.540367554512366,0.0007,,,0.0729166666666667,0.0625,0.0625,0.125,0.75,2,1,1,0,4.0,124.25,4.25,4.25,122.0,130.0,130.0,120.0,120,,,123.0,,0.035416666666666666,0,0,0.035416666666666666,0,0,0,0,0
03af9f8b-508e-452c-9c35-0eeba0e3b3cc,2,4940.0,20.269611314900537,0.0021697874493927126,,,0.0729166666666667,0.0625,0.0625,0.125,0.75,2,1,1,0,4.0,117.5,5.5,6.5,123.0,110.0,123.0,110.0,112,122.0,,122.0,0.008196721311475308,0.05803571428571429,0,0,0.049107142857142856,0,0,0,0,0
03af9f8b-508e-452c-9c35-0eeba0e3b3cc,3,5120.0,45.51294949163998,0.004473876953125,31.875,44.150513667938874,0.0729166666666667,0.0625,0.0625,0.125,0.75,2,1,1,0,2.0,115.0,11.0,11.0,122.0,108.0,122.0,108.0,104,123.0,122.0,110.0,-0.008130081300813052,0.10576923076923077,0,0,0.10576923076923077,0,0,0,0,0
03af9f8b-508e-452c-9c35-0eeba0e3b3cc,4,5000.0,36.71511950137165,0.0036625,,,0.0729166666666667,0.0625,0.0625,0.125,0.75,2,1,1,0,5.0,112.4,16.4,16.4,110.0,123.0,123.0,106.0,96,122.0,123.0,111.0,-0.09836065573770492,0.1708333333333333,0,0,0.1708333333333334,0,0,0,0,0
03af9f8b-508e-452c-9c35-0eeba0e3b3cc,5,4880.0,59.65376290370454,0.006153944672131147,,,0.0729166666666667,0.0625,0.0625,0.125,0.75,2,1,1,0,3.0,109.33333333333333,21.333333333333332,21.333333333333332,111.0,107.0,111.0,107.0,88,110.0,122.0,84.0,0.009090909090909038,0.2424242424242424,0,0,0.24242424242424238,0,0,0,0,0
