session_code,participant_code,market_uuid,trader_uuid,gamified,treatment,trading_day,payoff,initial_cash,initial_shares,dividend_per_share,forecast,forecast_confidence,current_cash,num_shares,trade_payoff,fin_quiz_score,self_assessment,overconfidence,cq_attempt_count,gender_female,age,finance_course,trading_experience,high_education,hedonic,price_notifications,repetition,n_buys,n_sells,net_position,n_limit_orders,n_cancels,directionality,n_trades_market,avg_trade_price,avg_mispricing,avg_abs_mispricing,closing_price,opening_price,max_price,min_price,fundamental_value,price_L1,price_L2,price_next,return,abs_mispricing_ratio,surge,crash,normalized_mispricing,bubble_period,bubble_start,wealth_day,shares_recon,cash_recon,wealth_day_recon,gini,gini_recon,feedback_flag,speculator_flag,fundamental_flag,other_flag,market_maker_flag,session_id,group_label
8o0qyfku,3hlfki3e,792b99cc-c375-4006-9b7f-6b7ceeb15ffe,7a553ede-c04b-4dd0-95ba-349324bec098,0,ng,4,5540.0,3800.0,10.0,20.0,,,4146.5,26.0,5370.0,0.9166666666666666,5,-0.41666666666666663,1,0,24,1,1,1,0,0,1,0.0,0.0,0.0,1.0,1.0,,3.0,103.33333333333333,7.333333333333333,11.333333333333334,100.0,90.0,120.0,90.0,96,88.0,60.0,99.0,0.13636363636363646,0.11805555555555557,0,0,0.07638888888888884,0,0,6642.5,25.0,4626.5,6826.5,0.07030918427977252,0.07288557213930348,0.0,1.0,0.0,0.0,0.0,20260826,20260826/ng1
8o0qyfku,3hlfki3e,792b99cc-c375-4006-9b7f-6b7ceeb15ffe,7a553ede-c04b-4dd0-95ba-349324bec098,0,ng,5,5540.0,3800.0,10.0,4.0,,,4666.5,26.0,5370.0,0.9166666666666666,5,-0.41666666666666663,1,0,24,1,1,1,0,0,1,0.0,0.0,0.0,1.0,0.0,,3.0,99.66666666666667,11.666666666666666,11.666666666666666,99.0,100.0,100.0,99.0,88,100.0,88.0,96.0,-0.010000000000000009,0.13257575757575757,0,0,0.13257575757575762,0,0,6954.5,25.0,4726.5,6726.5,0.07309517938601899,0.07288259958071279,0.0,1.0,0.0,0.0,0.0,20260826,20260826/ng1
8o0qyfku,3hlfki3e,792b99cc-c375-4006-9b7f-6b7ceeb15ffe,7a553ede-c04b-4dd0-95ba-349324bec098,0,ng,6,5540.0,3800.0,10.0,20.0,80.0,3.0,4869.5,26.0,5370.0,0.9166666666666666,5,-0.41666666666666663,1,0,24,1,1,1,0,0,1,0.0,1.0,-1.0,2.0,2.0,1.0,5.0,98.6,18.6,18.6,96.0,99.0,100.0,96.0,80,99.0,100.0,82.0,-0.030303030303030276,0.2325,0,0,0.23249999999999993,0,0,6949.5,24.0,5305.5,7033.5,0.07525747611366175,0.07587185725871858,0.0,1.0,0.0,0.0,0.0,20260826,20260826/ng1
8o0qyfku,3hlfki3e,792b99cc-c375-4006-9b7f-6b7ceeb15ffe,7a553ede-c04b-4dd0-95ba-349324bec098,0,ng,7,5540.0,3800.0,10.0,4.0,,,5479.5,24.0,5370.0,0.9166666666666666,5,-0.41666666666666663,1,0,24,1,1,1,0,0,1,0.0,1.0,-1.0,2.0,1.0,1.0,6.0,86.66666666666667,14.666666666666666,14.666666666666666,82.0,88.0,91.0,82.0,72,96.0,99.0,80.0,-0.14583333333333337,0.2037037037037037,0,0,0.20370370370370378,0,0,7207.5,23.0,5487.5,6959.5,0.07512136405236561,0.07911029110291103,0.0,1.0,0.0,0.0,0.0,20260826,20260826/ng1
8o0qyfku,3hlfki3e,792b99cc-c375-4006-9b7f-6b7ceeb15ffe,7a553ede-c04b-4dd0-95ba-349324bec098,0,ng,8,5540.0,3800.0,10.0,20.0,,,5736.75,21.0,5370.0,0.9166666666666666,5,-0.41666666666666663,1,0,24,1,1,1,0,0,1,0.0,2.0,-2.0,0.0,0.0,1.0,2.0,80.625,16.625,16.625,80.0,81.25,81.25,80.0,64,82.0,96.0,50.0,-0.024390243902439046,0.259765625,0,0,0.259765625,0,0,7080.75,21.0,6068.75,7244.75,0.07586525639471452,0.07762152777777778,0.0,1.0,0.0,0.0,0.0,20260826,20260826/ng1
8o0qyfku,3hlfki3e,792b99cc-c375-4006-9b7f-6b7ceeb15ffe,7a553ede-c04b-4dd0-95ba-349324bec098,0,ng,9,5540.0,3800.0,10.0,0.0,50.0,3.0,6156.75,27.0,5370.0,0.9166666666666666,5,-0.41666666666666663,1,0,24,1,1,1,0,0,1,0.0,0.0,0.0,6.0,6.0,,2.0,57.5,1.5,7.5,50.0,65.0,65.0,50.0,56,80.0,82.0,46.5,-0.375,0.13392857142857142,0,0,0.026785714285714284,0,0,7668.75,21.0,6068.75,7076.75,0.08066164787040267,0.07995995539334956,0.0,1.0,0.0,0.0,0.0,20260826,20260826/ng1
8o0qyfku,3hlfki3e,792b99cc-c375-4006-9b7f-6b7ceeb15ffe,7a553ede-c04b-4dd0-95ba-349324bec098,0,ng,10,5540.0,3800.0,10.0,8.0,,,6236.75,20.0,5370.0,0.9166666666666666,5,-0.41666666666666663,1,0,24,1,1,1,0,0,1,0.0,2.0,-2.0,3.0,1.0,1.0,5.0,41.1,-6.9,6.9,46.5,40.0,46.5,39.0,48,50.0,80.0,29.0,-0.06999999999999995,0.14375000000000002,0,0,-0.14374999999999996,0,0,7196.75,19.0,6300.75,7060.75,0.07603430021175436,0.07901713300892133,0.0,1.0,0.0,0.0,0.0,20260826,20260826/ng1
8o0qyfku,3hlfki3e,792b99cc-c375-4006-9b7f-6b7ceeb15ffe,7a553ede-c04b-4dd0-95ba-349324bec098,0,ng,11,5540.0,3800.0,10.0,8.0,,,6396.75,20.0,5370.0,0.9166666666666666,5,-0.41666666666666663,1,0,24,1,1,1,0,0,1,0.0,0.0,0.0,2.0,1.0,,3.0,35.666666666666664,-4.333333333333333,4.333333333333333,29.0,39.0,39.0,29.0,40,46.5,50.0,35.0,-0.3763440860215054,0.10833333333333332,0,0,-0.10833333333333339,0,0,7196.75,19.0,6452.75,7060.75,0.07609554382175288,0.07878396188158962,0.0,1.0,0.0,0.0,0.0,20260826,20260826/ng1
8o0qyfku,3hlfki3e,792b99cc-c375-4006-9b7f-6b7ceeb15ffe,7a553ede-c04b-4dd0-95ba-349324bec098,0,ng,12,5540.0,3800.0,10.0,8.0,30.0,3.0,6496.75,21.0,5370.0,0.9166666666666666,5,-0.41666666666666663,1,0,24,1,1,1,0,0,1,2.0,0.0,2.0,1.0,0.0,1.0,4.0,33.5,1.5,3.5,35.0,30.0,39.0,30.0,32,29.0,46.5,20.0,0.2068965517241379,0.109375,0,0,0.046875,0,0,7168.75,21.0,6560.75,7064.75,0.0765224840687748,0.07906782238442822,0.0,1.0,0.0,0.0,0.0,20260826,20260826/ng1
8o0qyfku,3hlfki3e,792b99cc-c375-4006-9b7f-6b7ceeb15ffe,7a553ede-c04b-4dd0-95ba-349324bec098,0,ng,13,5540.0,3800.0,10.0,8.0,,,6664.75,21.0,5370.0,0.9166666666666666,5,-0.41666666666666663,1,0,24,1,1,1,0,0,1,0.0,0.0,0.0,2.0,2.0,,3.0,26.333333333333332,2.3333333333333335,5.0,20.0,32.0,32.0,20.0,24,35.0,29.0,15.0,-0.4285714285714286,0.20833333333333334,0,0,0.09722222222222217,0,0,7168.75,21.0,6728.75,7064.75,0.07676295539256944,0.07931113138686131,0.0,1.0,0.0,0.0,0.0,20260826,20260826/ng1
